,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,main run,birgi_176,"anatolia_n, armenia_chl, steppe_mlba, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian","tail_prob=0.05, p_value=0.05",anatolia_n,"tunisia_n, megiddo_mlba_original","armenia_chl, steppe_mlba",7,1,1,2,0,

Megiddo_MLBA_original                            0
prob                                      0.272047
nested-p                                  0.303671
nested_p_with_Anatolia_N                         0
nested_p_with_Armenia_ChL                 0.160767
nested_p_with_Steppe_MLBA              8.57425e-13
nested_p_with_Tunisia_N                   0.289918
nested_p_with_Megiddo_MLBA_original      0.0801923
Name: 48, dtype: object"
0,classification,Not Compact,Not Compact,Not Compact,Not Compact,Not Compact,Questionably Compact,Compact

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation anatolia n in reference set,birgi_176,"armenia_chl, steppe_mlba, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,anatolia_n","tail_prob=0.05, p_value=0.05",,,,0,0,0,0,0,NO VALID MODELS

,valid models
0,classification

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation armenia chl in reference set,birgi_176,"anatolia_n, steppe_mlba, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,armenia_chl","tail_prob=0.05, p_value=0.05","anatolia_n, steppe_mlba","tunisia_n, megiddo_mlba_original",,3,1,0,0,0,

,valid models,"feasible                                      True
Anatolia_N                                   0.641
Steppe_MLBA                                  0.239
Tunisia_N                                    0.018
Megiddo_MLBA_original                        0.103
prob                                      0.475278
nested-p                                       NaN
nested_p_with_Anatolia_N               5.53676e-09
nested_p_with_Steppe_MLBA              2.01117e-12
nested_p_with_Tunisia_N                   0.451853
nested_p_with_Megiddo_MLBA_original       0.774605
Name: 15, dtype: object","feasible                                      True
Anatolia_N                                   0.598
Steppe_MLBA                                  0.237
Tunisia_N                                        0
Megiddo_MLBA_original                        0.165
prob                                      0.514513
nested-p                                  0.451853
nested_p_with_Anatolia_N               1.46348e-10
nested_p_with_Steppe_MLBA              2.94487e-12
nested_p_with_Tunisia_N                   0.451853
nested_p_with_Megiddo_MLBA_original       0.289488
Name: 17, dtype: object","feasible                                      True
Anatolia_N                                   0.752
Steppe_MLBA                                  0.248
Tunisia_N                                        0
Megiddo_MLBA_original                            0
prob                                      0.503466
nested-p                                  0.429987
nested_p_with_Anatolia_N                         0
nested_p_with_Steppe_MLBA              1.86184e-13
nested_p_with_Tunisia_N                   0.205055
nested_p_with_Megiddo_MLBA_original       0.289488
Name: 20, dtype: object"
0,classification,Not Compact,Not Compact,Compact

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation megiddo mlba original in reference set,birgi_176,"anatolia_n, armenia_chl, steppe_mlba, tunisia_n","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,megiddo_mlba_original","tail_prob=0.05, p_value=0.05",,,,0,0,0,0,0,NO VALID MODELS

,valid models
0,classification

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation steppe mlba in reference set,birgi_176,"anatolia_n, armenia_chl, tunisia_n, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,steppe_mlba","tail_prob=0.05, p_value=0.05",,,,0,0,0,0,0,NO VALID MODELS

,valid models
0,classification

,RUN,Target sample,Source populations,Reference populations,Thresholds,contributing populations,non-contributing populations,ambiguous populations,number of valid models,number of compact models,number of questionable models,number of changed classification due to questionable models,number of compact models that contain a compact model,comment
0,validation tunisia n in reference set,birgi_176,"anatolia_n, armenia_chl, steppe_mlba, megiddo_mlba_original","elmiron,mota,ust_ishim,kostenki14,goyetq116-1,vestonice16,ma1,villabruna,ehg,chg,natufian,tunisia_n","tail_prob=0.05, p_value=0.05","anatolia_n, steppe_mlba","armenia_chl, megiddo_mlba_original",,3,1,0,0,0,

,valid models,"feasible                                     True
Anatolia_N                                  0.712
Armenia_ChL                                 0.086
Steppe_MLBA                                 0.201
Megiddo_MLBA_original                           0
prob                                     0.298022
nested-p                                 0.115449
nested_p_with_Anatolia_N                        0
nested_p_with_Armenia_ChL                0.267018
nested_p_with_Steppe_MLBA              0.00392974
nested_p_with_Megiddo_MLBA_original      0.115449
Name: 16, dtype: object","feasible                                      True
Anatolia_N                                   0.615
Armenia_ChL                                      0
Steppe_MLBA                                  0.235
Megiddo_MLBA_original                        0.149
prob                                      0.443506
nested-p                                  0.459957
nested_p_with_Anatolia_N               8.28012e-10
nested_p_with_Armenia_ChL                 0.459957
nested_p_with_Steppe_MLBA              5.07705e-12
nested_p_with_Megiddo_MLBA_original      0.0752785
Name: 18, dtype: object","feasible                                      True
Anatolia_N                                   0.749
Armenia_ChL                                      0
Steppe_MLBA                                  0.251
Megiddo_MLBA_original                            0
prob                                      0.290541
nested-p                                  0.156453
nested_p_with_Anatolia_N                         0
nested_p_with_Armenia_ChL                 0.267018
nested_p_with_Steppe_MLBA              9.88876e-13
nested_p_with_Megiddo_MLBA_original      0.0752785
Name: 21, dtype: object"
0,classification,Not Compact,Not Compact,Compact

,source population,anatolia_n,armenia_chl,steppe_mlba,tunisia_n,megiddo_mlba_original
0,conclusions,"main_run: Contributing
validation_armenia_chl: Contributing
validation_tunisia_n: Contributing
","main_run: Ambiguous
validation_tunisia_n: Non-Contributing
","main_run: Ambiguous
validation_armenia_chl: Contributing
validation_tunisia_n: Contributing
","main_run: Non-Contributing
validation_armenia_chl: Non-Contributing
","main_run: Non-Contributing
validation_armenia_chl: Non-Contributing
validation_tunisia_n: Non-Contributing
"

